Record ID,Employee ID,Employee Name,Team,Process,Date,Shift,Records Received,Records Processed,Records Pending,Errors,Rework,SLA Target,SLA Achieved,Processing Time,Working Hours,Quality Score,Attendance,Status,Productivity,Productivity %,Error Rate %,Accuracy %,Rework Rate %,SLA %,SLA Breach,Attendance %,Absenteeism %,Processing Ratio %,Opening Backlog,Closing Backlog,Backlog Status,Productivity Band,Quality Band,SLA Band
REC000016,EMP016,Employee 016,Team B,Data Entry,2026-07-01,Night,0,0,0,0,0,95,0,4.57,0.0,99.31,Leave,Pending,0.0,0.0,0.0,100.0,0.0,0.0,Yes,0,100,0.0,0,1266,Backlog Exists,Low,Excellent,Breached
REC000017,EMP017,Employee 017,Team B,Data Entry,2026-07-01,Afternoon,128,77,51,7,5,95,66,3.3,8.0,91.17,Present,Partial,9.62,64.17,9.09,90.91,6.49,85.71,Yes,100,0,60.16,0,1266,Backlog Exists,Low,Average,Breached
REC000018,EMP018,Employee 018,Team B,Data Entry,2026-07-01,Morning,165,99,66,5,1,95,89,4.94,7.5,94.53,Late,Partial,13.2,88.0,5.05,94.95,1.01,89.9,Yes,100,0,60.0,0,1266,Backlog Exists,Average,Average,Breached
REC000019,EMP019,Employee 019,Team B,Data Entry,2026-07-01,Night,175,105,70,2,2,95,104,6.49,8.0,98.12,Present,Partial,13.12,87.5,1.9,98.1,1.9,99.05,No,100,0,60.0,0,1266,Backlog Exists,Average,Excellent,Met
REC000020,EMP020,Employee 020,Team B,Data Entry,2026-07-01,Afternoon,41,27,14,3,0,95,21,5.0,4.0,89.46,Half Day,Partial,6.75,45.0,11.11,88.89,0.0,77.78,Yes,50,0,65.85,0,1266,Backlog Exists,Low,Needs Improvement,Breached
REC000021,EMP021,Employee 021,Team C,Application Processing,2026-07-01,Afternoon,189,132,57,3,4,95,120,4.29,8.0,97.98,Present,Partial,16.5,100.0,2.27,97.73,3.03,90.91,Yes,100,0,69.84,0,1266,Backlog Exists,High,Good,At Risk
REC000022,EMP022,Employee 022,Team C,Application Processing,2026-07-01,General,113,79,34,5,1,95,74,3.55,8.0,93.97,Present,Partial,9.88,65.83,6.33,93.67,1.27,93.67,Yes,100,0,69.91,0,1266,Backlog Exists,Low,Average,At Risk
REC000023,EMP023,Employee 023,Team C,Application Processing,2026-07-01,Night,149,104,45,3,4,95,102,2.8,8.0,97.4,Present,Partial,13.0,86.67,2.88,97.12,3.85,98.08,No,100,0,69.8,0,1266,Backlog Exists,Average,Good,Met
REC000024,EMP024,Employee 024,Team C,Application Processing,2026-07-01,Night,88,62,26,3,2,95,55,3.74,8.0,95.17,Present,Partial,7.75,51.67,4.84,95.16,3.23,88.71,Yes,100,0,70.45,0,1266,Backlog Exists,Low,Good,Breached
REC000025,EMP025,Employee 025,Team C,Application Processing,2026-07-01,Afternoon,98,68,30,4,1,95,62,6.66,8.0,93.4,Present,Partial,8.5,56.67,5.88,94.12,1.47,91.18,Yes,100,0,69.39,0,1266,Backlog Exists,Low,Average,At Risk
REC000026,EMP026,Employee 026,Team C,Application Processing,2026-07-01,Afternoon,143,100,43,2,1,95,92,6.28,8.0,98.33,Present,Partial,12.5,83.33,2.0,98.0,1.0,92.0,Yes,100,0,69.93,0,1266,Backlog Exists,Average,Excellent,At Risk
REC000027,EMP027,Employee 027,Team C,Application Processing,2026-07-01,Afternoon,95,66,29,3,1,95,57,3.19,8.0,95.58,Present,Partial,8.25,55.0,4.55,95.45,1.52,86.36,Yes,100,0,69.47,0,1266,Backlog Exists,Low,Good,Breached
REC000028,EMP028,Employee 028,Team C,Application Processing,2026-07-01,Morning,86,60,26,5,0,95,46,4.96,8.0,91.96,Present,Partial,7.5,50.0,8.33,91.67,0.0,76.67,Yes,100,0,69.77,0,1266,Backlog Exists,Low,Average,Breached
REC000029,EMP029,Employee 029,Team C,Application Processing,2026-07-01,Morning,157,110,47,3,2,95,109,3.49,8.0,97.28,Present,Partial,13.75,91.67,2.73,97.27,1.82,99.09,No,100,0,70.06,0,1266,Backlog Exists,High,Good,Met
REC000030,EMP030,Employee 030,Team C,Application Processing,2026-07-01,General,112,79,33,5,2,95,63,6.01,8.0,93.34,Present,Partial,9.88,65.83,6.33,93.67,2.53,79.75,Yes,100,0,70.54,0,1266,Backlog Exists,Low,Average,Breached
REC000031,EMP031,Employee 031,Team D,Quality Review,2026-07-01,General,102,90,12,6,2,95,81,5.62,7.5,93.19,Late,Partial,12.0,80.0,6.67,93.33,2.22,90.0,Yes,100,0,88.24,0,1266,Backlog Exists,Average,Average,At Risk
REC000032,EMP032,Employee 032,Team D,Quality Review,2026-07-01,Afternoon,41,36,5,3,1,95,28,6.18,8.0,90.7,Present,Partial,4.5,30.0,8.33,91.67,2.78,77.78,Yes,100,0,87.8,0,1266,Backlog Exists,Low,Average,Breached
REC000033,EMP033,Employee 033,Team D,Quality Review,2026-07-01,Morning,0,0,0,0,0,95,0,4.67,0.0,94.74,Leave,Pending,0.0,0.0,0.0,100.0,0.0,0.0,Yes,0,100,0.0,0,1266,Backlog Exists,Low,Average,Breached
REC000034,EMP034,Employee 034,Team D,Quality Review,2026-07-01,Night,93,82,11,6,4,95,74,3.51,8.0,92.19,Present,Partial,10.25,68.33,7.32,92.68,4.88,90.24,Yes,100,0,88.17,0,1266,Backlog Exists,Low,Average,At Risk
REC000035,EMP035,Employee 035,Team D,Quality Review,2026-07-01,Morning,105,92,13,5,2,95,88,5.25,7.5,94.25,Late,Partial,12.27,81.78,5.43,94.57,2.17,95.65,No,100,0,87.62,0,1266,Backlog Exists,Average,Average,Met
REC000036,EMP036,Employee 036,Team D,Quality Review,2026-07-01,Night,93,82,11,5,2,95,77,3.95,8.0,94.19,Present,Partial,10.25,68.33,6.1,93.9,2.44,93.9,Yes,100,0,88.17,0,1266,Backlog Exists,Low,Average,At Risk
REC000037,EMP037,Employee 037,Team D,Quality Review,2026-07-01,Afternoon,138,122,16,2,3,95,115,3.95,8.0,98.13,Present,Partial,15.25,100.0,1.64,98.36,2.46,94.26,Yes,100,0,88.41,0,1266,Backlog Exists,High,Excellent,At Risk
REC000038,EMP038,Employee 038,Team D,Quality Review,2026-07-01,General,96,85,11,6,3,95,81,4.42,8.0,93.27,Present,Partial,10.62,70.83,7.06,92.94,3.53,95.29,No,100,0,88.54,0,1266,Backlog Exists,Low,Average,Met
REC000039,EMP039,Employee 039,Team D,Quality Review,2026-07-01,Morning,98,87,11,2,2,95,80,4.97,8.0,97.78,Present,Partial,10.88,72.5,2.3,97.7,2.3,91.95,Yes,100,0,88.78,0,1266,Backlog Exists,Low,Good,At Risk
REC000040,EMP040,Employee 040,Team D,Quality Review,2026-07-01,Night,52,44,8,5,0,95,37,5.93,8.0,88.58,Present,Partial,5.5,36.67,11.36,88.64,0.0,84.09,Yes,100,0,84.62,0,1266,Backlog Exists,Low,Needs Improvement,Breached
REC000041,EMP001,Employee 001,Team A,Document Verification,2026-07-02,General,116,70,46,3,1,95,66,4.93,8.0,95.96,Present,Partial,8.75,58.33,4.29,95.71,1.43,94.29,Yes,100,0,60.34,1266,2762,Backlog Exists,Low,Good,At Risk
REC000042,EMP002,Employee 002,Team A,Document Verification,2026-07-02,General,0,0,0,0,0,95,0,4.32,0.0,94.89,Leave,Pending,0.0,0.0,0.0,100.0,0.0,0.0,Yes,0,100,0.0,1266,2762,Backlog Exists,Low,Average,Breached
REC000043,EMP003,Employee 003,Team A,Document Verification,2026-07-02,General,55,33,22,2,0,95,30,5.29,4.0,95.17,Half Day,Partial,8.25,55.0,6.06,93.94,0.0,90.91,Yes,50,0,60.0,1266,2762,Backlog Exists,Low,Good,At Risk
REC000044,EMP004,Employee 004,Team A,Document Verification,2026-07-02,Night,144,87,57,3,2,95,83,5.98,8.0,96.7,Present,Partial,10.88,72.5,3.45,96.55,2.3,95.4,No,100,0,60.42,1266,2762,Backlog Exists,Low,Good,Met
REC000045,EMP005,Employee 005,Team A,Document Verification,2026-07-02,Night,196,118,78,1,2,95,114,4.68,7.5,99.04,Late,Partial,15.73,100.0,0.85,99.15,1.69,96.61,No,100,0,60.2,1266,2762,Backlog Exists,High,Excellent,Met
REC000046,EMP006,Employee 006,Team A,Document Verification,2026-07-02,Afternoon,174,105,69,5,2,95,94,5.22,8.0,95.64,Present,Partial,13.12,87.5,4.76,95.24,1.9,89.52,Yes,100,0,60.34,1266,2762,Backlog Exists,Average,Good,Breached
REC000047,EMP007,Employee 007,Team A,Document Verification,2026-07-02,General,81,49,32,5,0,95,44,7.43,8.0,90.26,Present,Partial,6.12,40.83,10.2,89.8,0.0,89.8,Yes,100,0,60.49,1266,2762,Backlog Exists,Low,Average,Breached
REC000048,EMP008,Employee 008,Team A,Document Verification,2026-07-02,General,179,108,71,4,1,95,96,3.87,8.0,96.48,Present,Partial,13.5,90.0,3.7,96.3,0.93,88.89,Yes,100,0,60.34,1266,2762,Backlog Exists,High,Good,Breached
REC000049,EMP009,Employee 009,Team A,Document Verification,2026-07-02,General,101,61,40,6,2,95,52,5.77,8.0,90.06,Present,Partial,7.62,50.83,9.84,90.16,3.28,85.25,Yes,100,0,60.4,1266,2762,Backlog Exists,Low,Average,Breached
REC000050,EMP010,Employee 010,Team A,Document Verification,2026-07-02,General,212,130,82,0,5,95,123,4.34,8.0,99.75,Present,Partial,16.25,100.0,0.0,100.0,3.85,94.62,Yes,100,0,61.32,1266,2762,Backlog Exists,High,Excellent,At Risk
REC000051,EMP011,Employee 011,Team B,Data Entry,2026-07-02,General,168,94,74,2,2,95,89,4.57,8.0,97.93,Present,Partial,11.75,78.33,2.13,97.87,2.13,94.68,Yes,100,0,55.95,1266,2762,Backlog Exists,Average,Good,At Risk
REC000052,EMP012,Employee 012,Team B,Data Entry,2026-07-02,Afternoon,190,105,85,1,2,95,97,3.33,8.0,99.49,Present,Partial,13.12,87.5,0.95,99.05,1.9,92.38,Yes,100,0,55.26,1266,2762,Backlog Exists,Average,Excellent,At Risk
REC000053,EMP013,Employee 013,Team B,Data Entry,2026-07-02,Night,133,74,59,5,2,95,68,6.0,8.0,93.38,Present,Partial,9.25,61.67,6.76,93.24,2.7,91.89,Yes,100,0,55.64,1266,2762,Backlog Exists,Low,Average,At Risk
REC000054,EMP014,Employee 014,Team B,Data Entry,2026-07-02,Morning,118,65,53,2,1,95,61,6.03,8.0,97.57,Present,Partial,8.12,54.17,3.08,96.92,1.54,93.85,Yes,100,0,55.08,1266,2762,Backlog Exists,Low,Good,At Risk
REC000055,EMP015,Employee 015,Team B,Data Entry,2026-07-02,Night,105,58,47,5,0,95,45,4.78,8.0,90.64,Present,Partial,7.25,48.33,8.62,91.38,0.0,77.59,Yes,100,0,55.24,1266,2762,Backlog Exists,Low,Average,Breached
REC000056,EMP016,Employee 016,Team B,Data Entry,2026-07-02,Night,172,96,76,2,3,95,94,2.88,8.0,97.62,Present,Partial,12.0,80.0,2.08,97.92,3.12,97.92,No,100,0,55.81,1266,2762,Backlog Exists,Average,Good,Met
REC000057,EMP017,Employee 017,Team B,Data Entry,2026-07-02,Afternoon,163,90,73,11,5,95,75,3.35,8.0,87.62,Present,Partial,11.25,75.0,12.22,87.78,5.56,83.33,Yes,100,0,55.21,1266,2762,Backlog Exists,Average,Needs Improvement,Breached
REC000058,EMP018,Employee 018,Team B,Data Entry,2026-07-02,Morning,0,0,0,0,0,95,0,4.68,0.0,96.96,Leave,Pending,0.0,0.0,0.0,100.0,0.0,0.0,Yes,0,100,0.0,1266,2762,Backlog Exists,Low,Good,Breached
REC000059,EMP019,Employee 019,Team B,Data Entry,2026-07-02,Night,172,95,77,1,2,95,94,6.17,8.0,99.35,Present,Partial,11.88,79.17,1.05,98.95,2.11,98.95,No,100,0,55.23,1266,2762,Backlog Exists,Average,Excellent,Met
REC000060,EMP020,Employee 020,Team B,Data Entry,2026-07-02,Afternoon,108,63,45,3,1,95,51,4.59,8.0,94.86,Present,Partial,7.88,52.5,4.76,95.24,1.59,80.95,Yes,100,0,58.33,1266,2762,Backlog Exists,Low,Average,Breached
REC000061,EMP021,Employee 021,Team C,Application Processing,2026-07-02,Afternoon,183,139,44,0,3,95,127,4.04,8.0,99.92,Present,Partial,17.38,100.0,0.0,100.0,2.16,91.37,Yes,100,0,75.96,1266,2762,Backlog Exists,High,Excellent,At Risk
REC000062,EMP022,Employee 022,Team C,Application Processing,2026-07-02,General,116,89,27,6,2,95,82,4.42,8.0,93.16,Present,Partial,11.12,74.17,6.74,93.26,2.25,92.13,Yes,100,0,76.72,1266,2762,Backlog Exists,Low,Average,At Risk
REC000063,EMP023,Employee 023,Team C,Application Processing,2026-07-02,Night,164,125,39,0,1,95,120,4.05,8.0,99.68,Present,Partial,15.62,100.0,0.0,100.0,0.8,96.0,No,100,0,76.22,1266,2762,Backlog Exists,High,Excellent,Met
REC000064,EMP024,Employee 024,Team C,Application Processing,2026-07-02,Night,119,91,28,4,2,95,84,3.63,8.0,95.41,Present,Partial,11.38,75.83,4.4,95.6,2.2,92.31,Yes,100,0,76.47,1266,2762,Backlog Exists,Average,Good,At Risk
REC000065,EMP025,Employee 025,Team C,Application Processing,2026-07-02,Afternoon,123,93,30,5,0,95,87,5.39,8.0,94.89,Present,Partial,11.62,77.5,5.38,94.62,0.0,93.55,Yes,100,0,75.61,1266,2762,Backlog Exists,Average,Average,At Risk
REC000066,EMP026,Employee 026,Team C,Application Processing,2026-07-02,Afternoon,139,106,33,0,2,95,102,5.63,8.0,99.96,Present,Partial,13.25,88.33,0.0,100.0,1.89,96.23,No,100,0,76.26,1266,2762,Backlog Exists,Average,Excellent,Met
REC000067,EMP027,Employee 027,Team C,Application Processing,2026-07-02,Afternoon,105,80,25,3,0,95,69,5.75,8.0,96.6,Present,Partial,10.0,66.67,3.75,96.25,0.0,86.25,Yes,100,0,76.19,1266,2762,Backlog Exists,Low,Good,Breached
REC000068,EMP028,Employee 028,Team C,Application Processing,2026-07-02,Morning,78,60,18,4,1,95,45,7.32,8.0,93.91,Present,Partial,7.5,50.0,6.67,93.33,1.67,75.0,Yes,100,0,76.92,1266,2762,Backlog Exists,Low,Average,Breached
REC000069,EMP029,Employee 029,Team C,Application Processing,2026-07-02,Morning,171,130,41,2,1,95,128,3.3,8.0,98.19,Present,Partial,16.25,100.0,1.54,98.46,0.77,98.46,No,100,0,76.02,1266,2762,Backlog Exists,High,Excellent,Met
REC000070,EMP030,Employee 030,Team C,Application Processing,2026-07-02,General,79,62,17,4,0,95,52,4.78,8.0,93.88,Present,Partial,7.75,51.67,6.45,93.55,0.0,83.87,Yes,100,0,78.48,1266,2762,Backlog Exists,Low,Average,Breached
REC000071,EMP031,Employee 031,Team D,Quality Review,2026-07-02,General,112,100,12,7,3,95,96,6.59,8.0,93.09,Present,Partial,12.5,83.33,7.0,93.0,3.0,96.0,No,100,0,89.29,1266,2762,Backlog Exists,Average,Average,Met
REC000072,EMP032,Employee 032,Team D,Quality Review,2026-07-02,Afternoon,74,66,8,5,2,95,46,6.19,8.0,92.03,Present,Partial,8.25,55.0,7.58,92.42,3.03,69.7,Yes,100,0,89.19,1266,2762,Backlog Exists,Low,Average,Breached
REC000073,EMP033,Employee 033,Team D,Quality Review,2026-07-02,Morning,110,98,12,3,3,95,90,4.91,8.0,97.1,Present,Partial,12.25,81.67,3.06,96.94,3.06,91.84,Yes,100,0,89.09,1266,2762,Backlog Exists,Average,Good,At Risk
REC000074,EMP034,Employee 034,Team D,Quality Review,2026-07-02,Night,90,80,10,6,5,95,69,5.12,8.0,92.58,Present,Partial,10.0,66.67,7.5,92.5,6.25,86.25,Yes,100,0,88.89,1266,2762,Backlog Exists,Low,Average,Breached
REC000075,EMP035,Employee 035,Team D,Quality Review,2026-07-02,Morning,111,99,12,3,3,95,87,5.02,8.0,96.54,Present,Partial,12.38,82.5,3.03,96.97,3.03,87.88,Yes,100,0,89.19,1266,2762,Backlog Exists,Average,Good,Breached
REC000076,EMP036,Employee 036,Team D,Quality Review,2026-07-02,Night,92,81,11,2,1,95,75,4.48,8.0,97.66,Present,Partial,10.12,67.5,2.47,97.53,1.23,92.59,Yes,100,0,88.04,1266,2762,Backlog Exists,Low,Good,At Risk
REC000077,EMP037,Employee 037,Team D,Quality Review,2026-07-02,Afternoon,126,112,14,2,2,95,106,5.5,8.0,98.36,Present,Partial,14.0,93.33,1.79,98.21,1.79,94.64,Yes,100,0,88.89,1266,2762,Backlog Exists,High,Excellent,At Risk
REC000078,EMP038,Employee 038,Team D,Quality Review,2026-07-02,General,103,92,11,6,0,95,81,4.89,8.0,93.69,Present,Partial,11.5,76.67,6.52,93.48,0.0,88.04,Yes,100,0,89.32,1266,2762,Backlog Exists,Average,Average,Breached
REC000079,EMP039,Employee 039,Team D,Quality Review,2026-07-02,Morning,83,74,9,3,2,95,65,6.4,8.0,96.03,Present,Partial,9.25,61.67,4.05,95.95,2.7,87.84,Yes,100,0,89.16,1266,2762,Backlog Exists,Low,Good,Breached
REC000080,EMP040,Employee 040,Team D,Quality Review,2026-07-02,Night,83,74,9,5,1,95,67,7.67,8.0,93.22,Present,Partial,9.25,61.67,6.76,93.24,1.35,90.54,Yes,100,0,89.16,1266,2762,Backlog Exists,Low,Average,At Risk
REC000081,EMP001,Employee 001,Team A,Document Verification,2026-07-03,General,0,0,0,0,0,95,0,5.17,0.0,95.66,Leave,Pending,0.0,0.0,0.0,100.0,0.0,0.0,Yes,0,100,0.0,2762,3656,Backlog Exists,Low,Good,Breached
REC000082,EMP002,Employee 002,Team A,Document Verification,2026-07-03,General,120,95,25,5,1,95,89,5.77,8.0,95.16,Present,Partial,11.88,79.17,5.26,94.74,1.05,93.68,Yes,100,0,79.17,2762,3656,Backlog Exists,Average,Good,At Risk
REC000083,EMP003,Employee 003,Team A,Document Verification,2026-07-03,General,118,93,25,6,3,95,85,5.97,8.0,93.83,Present,Partial,11.62,77.5,6.45,93.55,3.23,91.4,Yes,100,0,78.81,2762,3656,Backlog Exists,Average,Average,At Risk
REC000084,EMP004,Employee 004,Team A,Document Verification,2026-07-03,Night,112,88,24,4,3,95,83,5.83,8.0,95.87,Present,Partial,11.0,73.33,4.55,95.45,3.41,94.32,Yes,100,0,78.57,2762,3656,Backlog Exists,Low,Good,At Risk
REC000085,EMP005,Employee 005,Team A,Document Verification,2026-07-03,Night,146,115,31,1,1,95,110,5.46,8.0,99.34,Present,Partial,14.38,95.83,0.87,99.13,0.87,95.65,No,100,0,78.77,2762,3656,Backlog Exists,High,Excellent,Met
REC000086,EMP006,Employee 006,Team A,Document Verification,2026-07-03,Afternoon,109,86,23,3,1,95,77,4.83,8.0,96.77,Present,Partial,10.75,71.67,3.49,96.51,1.16,89.53,Yes,100,0,78.9,2762,3656,Backlog Exists,Low,Good,Breached
REC000087,EMP007,Employee 007,Team A,Document Verification,2026-07-03,General,68,54,14,4,1,95,45,5.85,8.0,92.23,Present,Partial,6.75,45.0,7.41,92.59,1.85,83.33,Yes,100,0,79.41,2762,3656,Backlog Exists,Low,Average,Breached
REC000088,EMP008,Employee 008,Team A,Document Verification,2026-07-03,General,127,100,27,3,1,95,93,5.26,8.0,96.86,Present,Partial,12.5,83.33,3.0,97.0,1.0,93.0,Yes,100,0,78.74,2762,3656,Backlog Exists,Average,Good,At Risk
REC000089,EMP009,Employee 009,Team A,Document Verification,2026-07-03,General,73,57,16,4,1,95,50,7.68,8.0,93.01,Present,Partial,7.12,47.5,7.02,92.98,1.75,87.72,Yes,100,0,78.08,2762,3656,Backlog Exists,Low,Average,Breached
REC000090,EMP010,Employee 010,Team A,Document Verification,2026-07-03,General,151,121,30,3,2,95,116,4.9,8.0,97.68,Present,Partial,15.12,100.0,2.48,97.52,1.65,95.87,No,100,0,80.13,2762,3656,Backlog Exists,High,Good,Met
REC000091,EMP011,Employee 011,Team B,Data Entry,2026-07-03,General,100,70,30,2,1,95,66,5.41,8.0,96.72,Present,Partial,8.75,58.33,2.86,97.14,1.43,94.29,Yes,100,0,70.0,2762,3656,Backlog Exists,Low,Good,At Risk
REC000092,EMP012,Employee 012,Team B,Data Entry,2026-07-03,Afternoon,163,114,49,3,2,95,107,4.47,8.0,97.34,Present,Partial,14.25,95.0,2.63,97.37,1.75,93.86,Yes,100,0,69.94,2762,3656,Backlog Exists,High,Good,At Risk
REC000093,EMP013,Employee 013,Team B,Data Entry,2026-07-03,Night,136,95,41,2,2,95,83,6.65,8.0,97.59,Present,Partial,11.88,79.17,2.11,97.89,2.11,87.37,Yes,100,0,69.85,2762,3656,Backlog Exists,Average,Good,Breached
REC000094,EMP014,Employee 014,Team B,Data Entry,2026-07-03,Morning,129,90,39,5,2,95,80,3.14,8.0,94.24,Present,Partial,11.25,75.0,5.56,94.44,2.22,88.89,Yes,100,0,69.77,2762,3656,Backlog Exists,Average,Average,Breached
REC000095,EMP015,Employee 015,Team B,Data Entry,2026-07-03,Night,50,35,15,3,1,95,27,4.59,8.0,90.18,Present,Partial,4.38,29.17,8.57,91.43,2.86,77.14,Yes,100,0,70.0,2762,3656,Backlog Exists,Low,Average,Breached
REC000096,EMP016,Employee 016,Team B,Data Entry,2026-07-03,Night,173,121,52,2,4,95,117,4.68,8.0,98.55,Present,Partial,15.12,100.0,1.65,98.35,3.31,96.69,No,100,0,69.94,2762,3656,Backlog Exists,High,Excellent,Met
REC000097,EMP017,Employee 017,Team B,Data Entry,2026-07-03,Afternoon,98,69,29,6,3,95,59,4.4,8.0,91.12,Present,Partial,8.62,57.5,8.7,91.3,4.35,85.51,Yes,100,0,70.41,2762,3656,Backlog Exists,Low,Average,Breached
REC000098,EMP018,Employee 018,Team B,Data Entry,2026-07-03,Morning,99,69,30,3,1,95,63,6.35,8.0,95.34,Present,Partial,8.62,57.5,4.35,95.65,1.45,91.3,Yes,100,0,69.7,2762,3656,Backlog Exists,Low,Good,At Risk
REC000099,EMP019,Employee 019,Team B,Data Entry,2026-07-03,Night,133,93,40,1,1,95,91,4.7,8.0,98.76,Present,Partial,11.62,77.5,1.08,98.92,1.08,97.85,No,100,0,69.92,2762,3656,Backlog Exists,Average,Excellent,Met
REC000100,EMP020,Employee 020,Team B,Data Entry,2026-07-03,Afternoon,78,56,22,5,1,95,47,4.91,8.0,91.37,Present,Partial,7.0,46.67,8.93,91.07,1.79,83.93,Yes,100,0,71.79,2762,3656,Backlog Exists,Low,Average,Breached
REC000101,EMP021,Employee 021,Team C,Application Processing,2026-07-03,Afternoon,174,137,37,3,1,95,128,6.14,8.0,97.97,Present,Partial,17.12,100.0,2.19,97.81,0.73,93.43,Yes,100,0,78.74,2762,3656,Backlog Exists,High,Good,At Risk
REC000102,EMP022,Employee 022,Team C,Application Processing,2026-07-03,General,128,101,27,3,2,95,95,6.64,8.0,97.38,Present,Partial,12.62,84.17,2.97,97.03,1.98,94.06,Yes,100,0,78.91,2762,3656,Backlog Exists,Average,Good,At Risk
REC000103,EMP023,Employee 023,Team C,Application Processing,2026-07-03,Night,155,122,33,1,2,95,120,4.24,7.5,98.87,Late,Partial,16.27,100.0,0.82,99.18,1.64,98.36,No,100,0,78.71,2762,3656,Backlog Exists,High,Excellent,Met
REC000104,EMP024,Employee 024,Team C,Application Processing,2026-07-03,Night,104,82,22,2,1,95,77,4.45,8.0,97.15,Present,Partial,10.25,68.33,2.44,97.56,1.22,93.9,Yes,100,0,78.85,2762,3656,Backlog Exists,Low,Good,At Risk
REC000105,EMP025,Employee 025,Team C,Application Processing,2026-07-03,Afternoon,110,87,23,2,1,95,80,3.46,8.0,97.31,Present,Partial,10.88,72.5,2.3,97.7,1.15,91.95,Yes,100,0,79.09,2762,3656,Backlog Exists,Low,Good,At Risk
